,Company name Latin alphabet,BvD ID number,"DM
Full name","DM
UCI (Unique Contact Identifier)","DM
Current or previous","DM
Type of role","DM
Board, committee or department"
1.,AIRBUS SE,NL24288945,Mr Rene Richard Obermann,P014144573,Current,BoD,Board of Directors
,,,Mr Rene Richard Obermann,P014144573,Current,"BoD,ExeB",Board of Directors; Executive Board
,,,Mr Rene Richard Obermann,P014144573,Current,Proxy,Proxyholders
,,,"Mr Lap Lik, Victor Chu",P014140427,Current,"BoD,ExeB",Board of Directors; Executive Board
,,,"Mr Lap Lik, Victor Chu",P014140427,Current,AudC,Audit Committee
,,,Mr Jean-Pierre Luc Clamadieu,P013664847,Current,"BoD,ExeB",Board of Directors; Executive Board
,,,Mr Jean-Pierre Luc Clamadieu,P013664847,Current,"NomC,CoGoC",Nomination Committee; Corporate Governance Committee
,,,Mr Jean-Pierre Luc Clamadieu,P013664847,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Jr. Ralph Dozier Crosby Jr.,P100868603,Current,BoD,Board of Directors
,,,Jr. Ralph Dozier Crosby Jr.,P100868603,Current,ExeB,Executive Board
,,,Jr. Ralph Dozier Crosby Jr.,P100868603,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Mr Paul Lord Drayson,P738379208,Current,"BoD,ExeB",Board of Directors; Executive Board
,,,Mr Mark Beddows Dunkerley,P012726494,Current,"BoD,ExeB",Board of Directors; Executive Board
,,,Mr Mark Beddows Dunkerley,P012726494,Current,AudC,Audit Committee
,,,Mr Mark Beddows Dunkerley,P012726494,Current,"NomC,CoGoC",Nomination Committee; Corporate Governance Committee
,,,Mr Guillaume Marie Jean Dominique Faury,P058822076,Current,BoD,Board of Directors
,,,Mr Guillaume Marie Jean Dominique Faury,P058822076,Current,"ExeB,SenMan",Executive Board; Senior management
,,,Mr Guillaume Marie Jean Dominique Faury,P058822076,Current,ExeC,Executive Committee
,,,Mr Stephan Gemkow,P014141492,Current,"BoD,ExeB",Board of Directors; Executive Board
,,,Mr Stephan Gemkow,P014141492,Current,AudC,Audit Committee
,,,Ms Catherine Renee Anne Guillouard,P014402113,Current,"BoD,ExeB",Board of Directors; Executive Board
,,,Ms Catherine Renee Anne Guillouard,P014402113,Current,AudC,Audit Committee
,,,Ms Catherine Renee Anne Guillouard,P014402113,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Ms Maria Amparo Moraleda,P041182840,Current,"BoD,ExeB",Board of Directors; Executive Board
,,,Ms Maria Amparo Moraleda,P041182840,Current,"NomC,CoGoC",Nomination Committee; Corporate Governance Committee
,,,Ms Maria Amparo Moraleda,P041182840,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Ms Claudia Nemat,P112272506,Current,"BoD,ExeB",Board of Directors; Executive Board
,,,Ms Claudia Nemat,P112272506,Current,"NomC,CoGoC",Nomination Committee; Corporate Governance Committee
,,,Ms Irene Rummelhoff,P059724033,Current,BoD,Board of Directors
,,,Ms Irene Rummelhoff,P059724033,Current,ExeB,Executive Board
,,,Ms Irene Rummelhoff,P059724033,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Mr Carlos Tavares,P014138300,Current,"BoD,ExeB",Board of Directors; Executive Board
,,,Prof. Dr. Ruediger Wolfgang Grube,P223286047,Current,ExeB,Executive Board
,,,Dipl.-Wirtschaftsingenieur Bodo Knut Uebber,P014141131,Current,ExeB,Executive Board
,,,Mr Rolf Werner Friedrich Bartke,P157080747,Current,ExeB,Executive Board
